id,name,go_live_on,region,status
4216,17th St / SMC E Line Station,2017-07-07,Westside,True
4217,Broadway & 11th,2017-07-07,DTLA,True
4220,Park & Echo Park,2017-07-07,DTLA,True
4227,Grand / LATTC,2017-09-28,DTLA,True
4245,University & Hoover,2017-12-15,DTLA,True
4246,32nd & Figueroa,2018-07-08,DTLA,True
4247,25th & Vermont,2018-07-03,DTLA,True
4248,29th & Ellendale,2019-05-29,DTLA,True
4249,Figueroa & McCarthy Way,2018-07-02,DTLA,True
4250,Severance & Adams,2018-06-29,DTLA,True
4254,Hoover & 29th,2018-07-09,DTLA,True
4255,Seabluff & Runway,2021-03-26,Westside,True
4266,28th & Figueroa,#N/A,DTLA,True
4267,28th & University,2018-11-29,DTLA,True
4273,Hoover & 32nd,2018-08-23,DTLA,True
4275,Expo Park/LAFC,2018-10-08,DTLA,True
4276,Mariachi Plaza,2018-12-18,DTLA,False
4285,Metro Bike Share Free Bikes,2018-12-02,Free Bikes,True
4286,Metro Bike Share Out of Service Area Smart Bike,2019-02-27,Free Bikes,True
4293,Westlake & 3rd,2019-02-27,DTLA,True
4300,Union & Olympic,2019-01-25,DTLA,True
4301,Maubert & Vermont,2019-01-24,DTLA,True
4302,Vermont Pl & Vermont,2019-06-18,DTLA,True
4303,Sunset & Virgil,2019-06-19,DTLA,True
4304,Shatto Pl & Wilshire,2019-06-18,DTLA,True
4306,8th & Vermont,2019-01-28,DTLA,True
4311,7th & Berendo,2019-01-29,DTLA,True
4312,4th & Vermont,2019-02-07,DTLA,False
4313,Westlake/Macarthur Park Station,2019-02-07,DTLA,True
4314,7th & Park View,2019-02-06,DTLA,True
4315,Union & 7th,2019-02-08,DTLA,True
4321,Expo & Bundy,2019-02-06,Westside,False
4322,Venice & Inglewood,2020-07-22,Westside,False
4323,Venice & Beethoven,2019-02-27,Westside,False
4324,Palms & Motor,2019-02-27,Westside,False
4325,Venice & Clarington,2019-02-27,Westside,False
4328,Sepulveda & Palms,2019-02-27,Westside,False
4329,Palms & National,2019-02-27,Westside,False
4330,Bagley & Venice,2019-02-27,Westside,False
4331,Venice & Colonial,2019-02-27,Westside,False
4332,National & Motor,2019-02-27,Westside,False
4333,Venice & Walgrove,2019-02-27,Westside,False
4334,Venice & Motor,2019-02-27,Westside,False
4335,Venice & Hughes,2019-02-27,Westside,False
4336,Barrington & National,2019-02-27,Westside,False
4337,Inglewood & Braddock,2019-02-28,Westside,False
4338,Sepulveda & Venice,2019-05-22,Westside,False
4339,Westwood & National,2019-07-02,Westside,False
4340,17th St / SMC Expo Line Station,2019-03-21,Westside,False
4341,7th & Westminster,2019-02-27,Westside,False
4342,Abbot Kinney & Cadiz,2019-02-27,Westside,False
4343,California & Lincoln,2019-02-27,Westside,False
4344,Downtown Santa Monica Expo Line Station,2019-02-27,Westside,False
4345,Ocean Front Walk & Navy,2019-02-27,Westside,False
4346,Ocean Front Walk & North Venice,2019-02-27,Westside,False
4347,Pacific & North Venice,2019-02-27,Westside,False
4348,Rose & 7th,2019-02-27,Westside,False
4349,Rose & Main,2019-02-27,Westside,False
4350,Rose & Rennie,2019-02-27,Westside,False
4351,Venice & Lincoln,2019-02-27,Westside,False
4352,Washington & Abbot Kinney,2019-02-27,Westside,False
4353,Windward & Main,2019-02-27,Westside,False
4354,Venice & Glendon,2019-02-27,Westside,False
4356,CicLAvia Downtown Culver City Hub,2019-02-27,Westside,False
4357,CicLAvia Palms Hub,2019-03-01,Westside,False
4369,Pop-up Station at CicLAvia Culver City Hub,2019-03-01,Westside,False
4372,Public Bike Rack: Culver City Expo Line,2019-03-01,Westside,False
4373,Public Bike Rack: Westwood/Rancho Park Expo Line North,2019-03-19,Westside,False
4374,Public Bike Rack: Westwood/Rancho Park Expo Line South,2019-03-19,Westside,False
4378,Palms & Kelton,2019-03-19,Westside,False
4379,Sepulveda & Charnock,2019-03-21,Westside,False
4380,Centinela & Lucile,2019-03-20,Westside,False
4381,Sepulveda & Lucerne,2019-03-20,Westside,False
4382,Westwood & National,2019-03-20,Westside,False
4383,McLaughlin & Venice,2019-03-20,Westside,False
4384,Inglewood & Ballona,2019-04-29,Westside,False
4385,Public Bike Rack: Westwood/Rancho Park Expo Line,2019-07-02,Westside,False
4387,Row DTLA,2019-03-19,DTLA,True
4389,Expo/Sepulveda Expo Line Station,2019-04-01,Westside,False
4390,Kenmore & 3rd,2019-05-06,DTLA,True
4393,Durango & Venice,2019-05-09,Westside,False
4394,Westlawn & Beatrice,2019-07-03,Westside,False
4395,Del Rey Day Pop-up,2019-07-03,Westside,False
4396,Sepulveda & National,2019-09-15,Westside,False
4397,Mar Vista Rec Center,2019-05-22,Westside,False
4400,Newton & Central,2019-05-17,DTLA,False
4401,Vermont & Beverly,2019-06-11,DTLA,True
4402,Pop Hollywood Ciclavia Walk of Fame Hub,2019-05-31,DTLA,False
4403,Ciclavia Watts Hub,2019-08-18,DTLA,False
4404,Albany & Olympic,2020-02-23,DTLA,True
4405,Berendo & Olympic,2019-06-04,DTLA,True
4406,Normandie & Hollywood,2019-06-25,DTLA,True
4407,Pop Hollywood Ciclavia Barnsdall Art Park Hub,2019-08-15,DTLA,False
4408,Venice & Sawtelle,2019-08-18,Westside,False
4409,Maxella & Del Ray,2019-06-05,Westside,False
4410,Kenmore & 6th,2019-06-05,DTLA,True
4413,Lankershim & Vineland,2019-06-04,North Hollywood,True
4414,Chandler & Colfax,2019-08-05,North Hollywood,True
4415,Chandler & Laurel Canyon,2019-08-05,North Hollywood,True
4416,Riverside & Colfax,2019-08-05,North Hollywood,True
4417,Magnolia & Cartwright,2019-08-05,North Hollywood,True
4418,Lankershim & Moorpark,2019-08-05,North Hollywood,True
4419,Magnolia & Clybourn,2019-08-05,North Hollywood,True
4420,North Hollywood Station,2019-08-05,North Hollywood,True
4422,Riverside & Cahuenga,2019-08-05,North Hollywood,True
4425,Mariota & Riverside,2019-08-05,North Hollywood,True
4426,Tujunga & Moorpark,2019-08-05,North Hollywood,True
4427,Vineland & Otsego,2019-08-05,North Hollywood,True
4428,Lankershim & Hesby,2019-08-05,North Hollywood,True
4429,Chandler & Cahuenga,2019-08-05,North Hollywood,True
4430,Vineland & Burbank,2019-08-05,North Hollywood,True
4431,Lankershim & Califa,2019-08-05,North Hollywood,True
4432,Public Bike Rack: Universal City/Studio City Red Line Station,2019-08-05,North Hollywood,True
4435,Centre & 6th,2019-08-23,Port of LA,False
4436,Vermont & Franklin,2019-08-28,DTLA,True
4437,Franklin & Hillhurst,2019-09-04,DTLA,True
4438,Hoover & Fountain,2019-09-04,DTLA,True
4439,Santa Monica & Virgil,2019-09-05,DTLA,True
4440,Wilshire & Alexandria,2019-12-13,DTLA,True
4441,University & 30th,2019-09-11,DTLA,True
4442,Normandie & Sunset,2019-09-11,DTLA,True
4443,Figueroa & Jefferson,2019-09-12,DTLA,True
4444,Wilshire & Hobart,2019-09-12,DTLA,True
4445,Sunset & Douglas,2019-09-26,DTLA,True
4446,James M. Wood & Alvarado,2019-09-18,DTLA,True
4447,Rampart & Wilshire,2019-10-02,DTLA,True
4448,23rd St & Flower,2019-10-02,DTLA,True
